Cause of Death,Deaths,Percent,State,First Year,Last Year,Race/Ethnicty,Sex,Age Group
Firearm,14559,57.93935053,United States,2005,2005,"All Races,",Males,Ages 18-85+
Suffocation,5528,21.99936326,United States,2005,2005,"All Races,",Males,Ages 18-85+
Poisoning,3082,12.26520216,United States,2005,2005,"All Races,",Males,Ages 18-85+
Fall,489,1.946036294,United States,2005,2005,"All Races,",Males,Ages 18-85+
Cut/pierce,486,1.934097421,United States,2005,2005,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",259,1.0307227,United States,2005,2005,"All Races,",Males,Ages 18-85+
Drowning,255,1.014804202,United States,2005,2005,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",159,0.632760267,United States,2005,2005,"All Races,",Males,Ages 18-85+
Unspecified,130,0.517351162,United States,2005,2005,"All Races,",Males,Ages 18-85+
Fire/burn,105,0.417860554,United States,2005,2005,"All Races,",Males,Ages 18-85+
Transportation- Related,76,0.302451449,United States,2005,2005,"All Races,",Males,Ages 18-85+
Firearm,1642,47.63562518,Northeast,2005,2005,"All Races,",Males,Ages 18-85+
Suffocation,1012,29.35886278,Northeast,2005,2005,"All Races,",Males,Ages 18-85+
Poisoning,395,11.45923992,Northeast,2005,2005,"All Races,",Males,Ages 18-85+
Fall,126,3.65535248,Northeast,2005,2005,"All Races,",Males,Ages 18-85+
Cut/pierce,96,2.785030461,Northeast,2005,2005,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",65,1.885697708,Northeast,2005,2005,"All Races,",Males,Ages 18-85+
Drowning,52,1.508558167,Northeast,2005,2005,"All Races,",Males,Ages 18-85+
Fire/burn,22,0.638236147,Northeast,2005,2005,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",20,0.580214679,Northeast,2005,2005,"All Races,",Males,Ages 18-85+
Unspecified,14,0.406150276,Northeast,2005,2005,"All Races,",Males,Ages 18-85+
Transportation- Related,3,0.087032202,Northeast,2005,2005,"All Races,",Males,Ages 18-85+
Firearm,6241,64.45982235,South,2005,2005,"All Races,",Males,Ages 18-85+
Suffocation,1829,18.89072506,South,2005,2005,"All Races,",Males,Ages 18-85+
Poisoning,1001,10.33877298,South,2005,2005,"All Races,",Males,Ages 18-85+
Cut/pierce,171,1.766164016,South,2005,2005,"All Races,",Males,Ages 18-85+
Fall,122,1.260070233,South,2005,2005,"All Races,",Males,Ages 18-85+
Drowning,88,0.908903119,South,2005,2005,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",74,0.764304896,South,2005,2005,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",65,0.671348895,South,2005,2005,"All Races,",Males,Ages 18-85+
Unspecified,42,0.433794671,South,2005,2005,"All Races,",Males,Ages 18-85+
Fire/burn,31,0.320181781,South,2005,2005,"All Races,",Males,Ages 18-85+
Transportation- Related,18,0.185912002,South,2005,2005,"All Races,",Males,Ages 18-85+
Firearm,3188,55.86122306,Midwest,2005,2005,"All Races,",Males,Ages 18-85+
Suffocation,1297,22.72647626,Midwest,2005,2005,"All Races,",Males,Ages 18-85+
Poisoning,819,14.35079727,Midwest,2005,2005,"All Races,",Males,Ages 18-85+
Cut/pierce,89,1.559488348,Midwest,2005,2005,"All Races,",Males,Ages 18-85+
Fall,83,1.454354302,Midwest,2005,2005,"All Races,",Males,Ages 18-85+
Drowning,53,0.928684072,Midwest,2005,2005,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",50,0.876117049,Midwest,2005,2005,"All Races,",Males,Ages 18-85+
Unspecified,47,0.823550026,Midwest,2005,2005,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",29,0.508147889,Midwest,2005,2005,"All Races,",Males,Ages 18-85+
Fire/burn,26,0.455580866,Midwest,2005,2005,"All Races,",Males,Ages 18-85+
Transportation- Related,26,0.455580866,Midwest,2005,2005,"All Races,",Males,Ages 18-85+
Firearm,3488,55.43547362,West,2005,2005,"All Races,",Males,Ages 18-85+
Suffocation,1390,22.09154482,West,2005,2005,"All Races,",Males,Ages 18-85+
Poisoning,867,13.77940242,West,2005,2005,"All Races,",Males,Ages 18-85+
Fall,158,2.511125238,West,2005,2005,"All Races,",Males,Ages 18-85+
Cut/pierce,130,2.066115702,West,2005,2005,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",70,1.11252384,West,2005,2005,"All Races,",Males,Ages 18-85+
Drowning,62,0.985378258,West,2005,2005,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",45,0.715193897,West,2005,2005,"All Races,",Males,Ages 18-85+
Transportation- Related,29,0.460902734,West,2005,2005,"All Races,",Males,Ages 18-85+
Unspecified,27,0.429116338,West,2005,2005,"All Races,",Males,Ages 18-85+
Fire/burn,26,0.41322314,West,2005,2005,"All Races,",Males,Ages 18-85+
Firearm,14415,56.3129932,United States,2006,2006,"All Races,",Males,Ages 18-85+
Suffocation,5851,22.85725447,United States,2006,2006,"All Races,",Males,Ages 18-85+
Poisoning,3268,12.76662239,United States,2006,2006,"All Races,",Males,Ages 18-85+
Fall,524,2.047034925,United States,2006,2006,"All Races,",Males,Ages 18-85+
Cut/pierce,504,1.968903821,United States,2006,2006,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",257,1.003984686,United States,2006,2006,"All Races,",Males,Ages 18-85+
Drowning,247,0.964919134,United States,2006,2006,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",191,0.746152043,United States,2006,2006,"All Races,",Males,Ages 18-85+
Fire/burn,137,0.535198062,United States,2006,2006,"All Races,",Males,Ages 18-85+
Unspecified,106,0.414094851,United States,2006,2006,"All Races,",Males,Ages 18-85+
Transportation- Related,97,0.378935854,United States,2006,2006,"All Races,",Males,Ages 18-85+
Struck by or Against,1,0.003906555,United States,2006,2006,"All Races,",Males,Ages 18-85+
Firearm,1560,43.96843292,Northeast,2006,2006,"All Races,",Males,Ages 18-85+
Suffocation,1091,30.74971815,Northeast,2006,2006,"All Races,",Males,Ages 18-85+
Poisoning,494,13.92333709,Northeast,2006,2006,"All Races,",Males,Ages 18-85+
Fall,124,3.494926719,Northeast,2006,2006,"All Races,",Males,Ages 18-85+
Cut/pierce,92,2.593010147,Northeast,2006,2006,"All Races,",Males,Ages 18-85+
Drowning,59,1.662908681,Northeast,2006,2006,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",59,1.662908681,Northeast,2006,2006,"All Races,",Males,Ages 18-85+
Fire/burn,23,0.648252537,Northeast,2006,2006,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",23,0.648252537,Northeast,2006,2006,"All Races,",Males,Ages 18-85+
Unspecified,13,0.366403608,Northeast,2006,2006,"All Races,",Males,Ages 18-85+
Transportation- Related,10,0.281848929,Northeast,2006,2006,"All Races,",Males,Ages 18-85+
Firearm,6285,63.42078708,South,2006,2006,"All Races,",Males,Ages 18-85+
Suffocation,1961,19.78809284,South,2006,2006,"All Races,",Males,Ages 18-85+
Poisoning,1012,10.21190716,South,2006,2006,"All Races,",Males,Ages 18-85+
Cut/pierce,172,1.735620585,South,2006,2006,"All Races,",Males,Ages 18-85+
Fall,140,1.41271443,South,2006,2006,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",83,0.837537841,South,2006,2006,"All Races,",Males,Ages 18-85+
Drowning,77,0.776992936,South,2006,2006,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",66,0.665993946,South,2006,2006,"All Races,",Males,Ages 18-85+
Fire/burn,46,0.464177598,South,2006,2006,"All Races,",Males,Ages 18-85+
Unspecified,44,0.443995964,South,2006,2006,"All Races,",Males,Ages 18-85+
Transportation- Related,23,0.232088799,South,2006,2006,"All Races,",Males,Ages 18-85+
Struck by or Against,1,0.010090817,South,2006,2006,"All Races,",Males,Ages 18-85+
Firearm,3137,54.25458319,Midwest,2006,2006,"All Races,",Males,Ages 18-85+
Suffocation,1359,23.50397786,Midwest,2006,2006,"All Races,",Males,Ages 18-85+
Poisoning,868,15.01210654,Midwest,2006,2006,"All Races,",Males,Ages 18-85+
Cut/pierce,95,1.643030093,Midwest,2006,2006,"All Races,",Males,Ages 18-85+
Fall,84,1.452784504,Midwest,2006,2006,"All Races,",Males,Ages 18-85+
Drowning,55,0.951227949,Midwest,2006,2006,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",52,0.899342788,Midwest,2006,2006,"All Races,",Males,Ages 18-85+
Fire/burn,42,0.726392252,Midwest,2006,2006,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",36,0.62262193,Midwest,2006,2006,"All Races,",Males,Ages 18-85+
Transportation- Related,33,0.570736769,Midwest,2006,2006,"All Races,",Males,Ages 18-85+
Unspecified,21,0.363196126,Midwest,2006,2006,"All Races,",Males,Ages 18-85+
Firearm,3433,53.99496697,West,2006,2006,"All Races,",Males,Ages 18-85+
Suffocation,1440,22.64863165,West,2006,2006,"All Races,",Males,Ages 18-85+
Poisoning,894,14.06102548,West,2006,2006,"All Races,",Males,Ages 18-85+
Fall,176,2.76816609,West,2006,2006,"All Races,",Males,Ages 18-85+
Cut/pierce,145,2.280591381,West,2006,2006,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",80,1.258257314,West,2006,2006,"All Races,",Males,Ages 18-85+
Drowning,56,0.88078012,West,2006,2006,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",49,0.770682605,West,2006,2006,"All Races,",Males,Ages 18-85+
Transportation- Related,31,0.487574709,West,2006,2006,"All Races,",Males,Ages 18-85+
Unspecified,28,0.44039006,West,2006,2006,"All Races,",Males,Ages 18-85+
Fire/burn,26,0.408933627,West,2006,2006,"All Races,",Males,Ages 18-85+
Firearm,14895,55.96468157,United States,2007,2007,"All Races,",Males,Ages 18-85+
Suffocation,6348,23.85121172,United States,2007,2007,"All Races,",Males,Ages 18-85+
Poisoning,3376,12.68457637,United States,2007,2007,"All Races,",Males,Ages 18-85+
Fall,538,2.021416494,United States,2007,2007,"All Races,",Males,Ages 18-85+
Cut/pierce,489,1.837309788,United States,2007,2007,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",246,0.924290813,United States,2007,2007,"All Races,",Males,Ages 18-85+
Drowning,234,0.879203457,United States,2007,2007,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",169,0.634980274,United States,2007,2007,"All Races,",Males,Ages 18-85+
Unspecified,126,0.473417246,United States,2007,2007,"All Races,",Males,Ages 18-85+
Fire/burn,100,0.375727973,United States,2007,2007,"All Races,",Males,Ages 18-85+
Transportation- Related,94,0.353184295,United States,2007,2007,"All Races,",Males,Ages 18-85+
Firearm,1595,43.30708661,Northeast,2007,2007,"All Races,",Males,Ages 18-85+
Suffocation,1163,31.57751833,Northeast,2007,2007,"All Races,",Males,Ages 18-85+
Poisoning,495,13.44013033,Northeast,2007,2007,"All Races,",Males,Ages 18-85+
Fall,132,3.584034754,Northeast,2007,2007,"All Races,",Males,Ages 18-85+
Cut/pierce,103,2.796633179,Northeast,2007,2007,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",73,1.982079826,Northeast,2007,2007,"All Races,",Males,Ages 18-85+
Drowning,54,1.466196036,Northeast,2007,2007,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",26,0.705946239,Northeast,2007,2007,"All Races,",Males,Ages 18-85+
Unspecified,22,0.597339126,Northeast,2007,2007,"All Races,",Males,Ages 18-85+
Fire/burn,10,0.271517784,Northeast,2007,2007,"All Races,",Males,Ages 18-85+
Transportation- Related,10,0.271517784,Northeast,2007,2007,"All Races,",Males,Ages 18-85+
Firearm,6473,63.20054677,South,2007,2007,"All Races,",Males,Ages 18-85+
Suffocation,2163,21.11892209,South,2007,2007,"All Races,",Males,Ages 18-85+
Poisoning,1066,10.40812341,South,2007,2007,"All Races,",Males,Ages 18-85+
Cut/pierce,149,1.454793986,South,2007,2007,"All Races,",Males,Ages 18-85+
Fall,113,1.103300137,South,2007,2007,"All Races,",Males,Ages 18-85+
Drowning,79,0.771333724,South,2007,2007,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",58,0.566295645,South,2007,2007,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",57,0.556531927,South,2007,2007,"All Races,",Males,Ages 18-85+
Unspecified,40,0.390548721,South,2007,2007,"All Races,",Males,Ages 18-85+
Fire/burn,28,0.273384105,South,2007,2007,"All Races,",Males,Ages 18-85+
Transportation- Related,16,0.156219488,South,2007,2007,"All Races,",Males,Ages 18-85+
Firearm,3168,54.01534527,Midwest,2007,2007,"All Races,",Males,Ages 18-85+
Suffocation,1474,25.13213981,Midwest,2007,2007,"All Races,",Males,Ages 18-85+
Poisoning,840,14.32225064,Midwest,2007,2007,"All Races,",Males,Ages 18-85+
Cut/pierce,97,1.653878943,Midwest,2007,2007,"All Races,",Males,Ages 18-85+
Fall,80,1.36402387,Midwest,2007,2007,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",45,0.767263427,Midwest,2007,2007,"All Races,",Males,Ages 18-85+
Drowning,41,0.699062234,Midwest,2007,2007,"All Races,",Males,Ages 18-85+
Fire/burn,34,0.579710145,Midwest,2007,2007,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",29,0.494458653,Midwest,2007,2007,"All Races,",Males,Ages 18-85+
Unspecified,29,0.494458653,Midwest,2007,2007,"All Races,",Males,Ages 18-85+
Transportation- Related,28,0.477408355,Midwest,2007,2007,"All Races,",Males,Ages 18-85+
Firearm,3659,53.61172161,West,2007,2007,"All Races,",Males,Ages 18-85+
Suffocation,1548,22.68131868,West,2007,2007,"All Races,",Males,Ages 18-85+
Poisoning,975,14.28571429,West,2007,2007,"All Races,",Males,Ages 18-85+
Fall,213,3.120879121,West,2007,2007,"All Races,",Males,Ages 18-85+
Cut/pierce,140,2.051282051,West,2007,2007,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",70,1.025641026,West,2007,2007,"All Races,",Males,Ages 18-85+
Drowning,60,0.879120879,West,2007,2007,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",57,0.835164835,West,2007,2007,"All Races,",Males,Ages 18-85+
Transportation- Related,40,0.586080586,West,2007,2007,"All Races,",Males,Ages 18-85+
Unspecified,35,0.512820513,West,2007,2007,"All Races,",Males,Ages 18-85+
Fire/burn,28,0.41025641,West,2007,2007,"All Races,",Males,Ages 18-85+
Firearm,15614,56.31537185,United States,2008,2008,"All Races,",Males,Ages 18-85+
Suffocation,6639,23.94503354,United States,2008,2008,"All Races,",Males,Ages 18-85+
Poisoning,3439,12.40352016,United States,2008,2008,"All Races,",Males,Ages 18-85+
Cut/pierce,549,1.980090889,United States,2008,2008,"All Races,",Males,Ages 18-85+
Fall,521,1.879102647,United States,2008,2008,"All Races,",Males,Ages 18-85+
Drowning,242,0.872826949,United States,2008,2008,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",219,0.789872322,United States,2008,2008,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",157,0.5662555,United States,2008,2008,"All Races,",Males,Ages 18-85+
Unspecified,143,0.515761379,United States,2008,2008,"All Races,",Males,Ages 18-85+
Fire/burn,109,0.3931328,United States,2008,2008,"All Races,",Males,Ages 18-85+
Transportation- Related,94,0.339031956,United States,2008,2008,"All Races,",Males,Ages 18-85+
Firearm,1670,43.4104497,Northeast,2008,2008,"All Races,",Males,Ages 18-85+
Suffocation,1226,31.86898882,Northeast,2008,2008,"All Races,",Males,Ages 18-85+
Poisoning,516,13.41304913,Northeast,2008,2008,"All Races,",Males,Ages 18-85+
Fall,138,3.587210814,Northeast,2008,2008,"All Races,",Males,Ages 18-85+
Cut/pierce,106,2.755393813,Northeast,2008,2008,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",54,1.403691188,Northeast,2008,2008,"All Races,",Males,Ages 18-85+
Drowning,51,1.325708344,Northeast,2008,2008,"All Races,",Males,Ages 18-85+
Unspecified,31,0.805822719,Northeast,2008,2008,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",26,0.675851313,Northeast,2008,2008,"All Races,",Males,Ages 18-85+
Fire/burn,21,0.545879906,Northeast,2008,2008,"All Races,",Males,Ages 18-85+
Transportation- Related,8,0.20795425,Northeast,2008,2008,"All Races,",Males,Ages 18-85+
Firearm,6871,63.66163254,South,2008,2008,"All Races,",Males,Ages 18-85+
Suffocation,2188,20.27239878,South,2008,2008,"All Races,",Males,Ages 18-85+
Poisoning,1138,10.54387103,South,2008,2008,"All Races,",Males,Ages 18-85+
Cut/pierce,184,1.704808672,South,2008,2008,"All Races,",Males,Ages 18-85+
Fall,116,1.074770685,South,2008,2008,"All Races,",Males,Ages 18-85+
Drowning,92,0.852404336,South,2008,2008,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",52,0.481793755,South,2008,2008,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",50,0.463263226,South,2008,2008,"All Races,",Males,Ages 18-85+
Fire/burn,41,0.379875845,South,2008,2008,"All Races,",Males,Ages 18-85+
Unspecified,40,0.370610581,South,2008,2008,"All Races,",Males,Ages 18-85+
Transportation- Related,21,0.194570555,South,2008,2008,"All Races,",Males,Ages 18-85+
Firearm,3329,54.37765436,Midwest,2008,2008,"All Races,",Males,Ages 18-85+
Suffocation,1543,25.20418164,Midwest,2008,2008,"All Races,",Males,Ages 18-85+
Poisoning,811,13.2473048,Midwest,2008,2008,"All Races,",Males,Ages 18-85+
Cut/pierce,122,1.992812806,Midwest,2008,2008,"All Races,",Males,Ages 18-85+
Fall,93,1.519111402,Midwest,2008,2008,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",53,0.865730154,Midwest,2008,2008,"All Races,",Males,Ages 18-85+
Drowning,47,0.767722966,Midwest,2008,2008,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",40,0.653381248,Midwest,2008,2008,"All Races,",Males,Ages 18-85+
Transportation- Related,33,0.53903953,Midwest,2008,2008,"All Races,",Males,Ages 18-85+
Unspecified,29,0.473701405,Midwest,2008,2008,"All Races,",Males,Ages 18-85+
Fire/burn,22,0.359359686,Midwest,2008,2008,"All Races,",Males,Ages 18-85+
Firearm,3744,53.76220563,West,2008,2008,"All Races,",Males,Ages 18-85+
Suffocation,1682,24.15278576,West,2008,2008,"All Races,",Males,Ages 18-85+
Poisoning,974,13.98621482,West,2008,2008,"All Races,",Males,Ages 18-85+
Fall,174,2.498564044,West,2008,2008,"All Races,",Males,Ages 18-85+
Cut/pierce,137,1.967260195,West,2008,2008,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",60,0.861573808,West,2008,2008,"All Races,",Males,Ages 18-85+
Drowning,52,0.7466973,West,2008,2008,"All Races,",Males,Ages 18-85+
Unspecified,43,0.617461229,West,2008,2008,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",41,0.588742102,West,2008,2008,"All Races,",Males,Ages 18-85+
Transportation- Related,32,0.459506031,West,2008,2008,"All Races,",Males,Ages 18-85+
Fire/burn,25,0.358989087,West,2008,2008,"All Races,",Males,Ages 18-85+
Firearm,15962,56.3868871,United States,2009,2009,"All Races,",Males,Ages 18-85+
